  Global Mean Effective Forcing (W/m2)
-------------------------------------------------------------------------------------

Reference: J. Hansen, M. Sato, P. Kharecha, K. von Schuckmann, 2011.
"Earth's Energy Imbalance and Imalications". arXiv:1105.1140.

AIE: Aerosol indirect effect
-------------------------------------------------------------------------------------
Year  W-M_GHGs   O3  StratH2O  Solar  LandUse SnowAlb StratAer  BC   ReflAer   AIE
-------------------------------------------------------------------------------------
1880   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000   .0000
1881   .0141   .0007   .0001   .0208  -.0008   .0012   .0090   .0032  -.0046  -.0063
1882   .0282   .0013   .0003   .0259  -.0017   .0025   .0230   .0064  -.0093  -.0126
1883   .0403   .0020   .0004   .0322  -.0025   .0037 -1.0880   .0096  -.0139  -.0189
1884   .0503   .0027   .0005   .0126  -.0032   .0050 -3.3320   .0128  -.0186  -.0252
1885   .0595   .0033   .0006  -.0108  -.0041   .0062 -1.4690   .0160  -.0232  -.0315
1886   .0715   .0040   .0007  -.0434  -.0049   .0075  -.8270   .0192  -.0279  -.0378
1887   .0776   .0047   .0009  -.0565  -.0058   .0088  -.8530   .0224  -.0325  -.0441
1888   .0811   .0053   .0010  -.0648  -.0066   .0099  -.4890   .0256  -.0371  -.0504
1889   .0849   .0060   .0011  -.0681  -.0074   .0112  -.6440   .0288  -.0418  -.0567
1890   .0908   .0067   .0013  -.0594  -.0083   .0125  -.8930   .0320  -.0464  -.0630
1891   .0966   .0073   .0014  -.0183  -.0090   .0138  -.6860   .0352  -.0511  -.0693
1892   .1034   .0080   .0016  -.0006  -.0097   .0149  -.4790   .0384  -.0557  -.0756
1893   .1033   .0087   .0017   .0241  -.0105   .0162  -.1950   .0416  -.0604  -.0819
1894   .1067   .0093   .0019   .0424  -.0112   .0175  -.0540   .0448  -.0650  -.0882
1895   .1086   .0100   .0020   .0260  -.0118   .0187  -.0070   .0480  -.0697  -.0945
1896   .1129   .0107   .0022  -.0026  -.0126   .0200  -.4040   .0512  -.0743  -.1008
1897   .1147   .0113   .0023  -.0291  -.0133   .0212  -.3690   .0544  -.0790  -.1071
1898   .1165   .0120   .0024  -.0367  -.0140   .0225  -.2560   .0576  -.0836  -.1134
1899   .1267   .0127   .0026  -.0463  -.0148   .0237  -.0800   .0608  -.0882  -.1197
1900   .1366   .0133   .0028  -.0503  -.0155   .0250  -.0140   .0640  -.0929  -.1260
1901   .1500   .0140   .0030  -.0564  -.0164   .0257   .0050   .0660  -.0979  -.1311
1902   .1613   .0147   .0033  -.0467  -.0174   .0265  -.4490   .0679  -.1030  -.1362
1903   .1726   .0154   .0036  -.0083  -.0183   .0271 -1.6540   .0699  -.1080  -.1412
1904   .1867   .0160   .0039   .0372  -.0194   .0279  -.7210   .0719  -.1130  -.1463
1905   .1999   .0167   .0042   .0091  -.0203   .0286  -.2700   .0738  -.1181  -.1514
1906   .2118   .0173   .0045   .0402  -.0212   .0294  -.1430   .0758  -.1231  -.1565
1907   .2231   .0180   .0048   .0172  -.0222   .0301  -.1900   .0777  -.1282  -.1616
1908   .2373   .0187   .0051   .0214  -.0232   .0308  -.2140   .0797  -.1332  -.1666
1909   .2494   .0193   .0054  -.0008  -.0242   .0315  -.0680   .0817  -.1382  -.1717
1910   .2615   .0200   .0058  -.0211  -.0251   .0322  -.0490   .0836  -.1433  -.1768
1911   .2748   .0213   .0060  -.0309  -.0258   .0330  -.0120   .0856  -.1483  -.1819
1912   .2871   .0225   .0063  -.0330  -.0266   .0337  -.4300   .0876  -.1534  -.1870
1913   .2973   .0237   .0067  -.0251  -.0273   .0344  -.5380   .0895  -.1584  -.1920
1914   .3038   .0249   .0071  -.0115  -.0280   .0351  -.2070   .0915  -.1634  -.1971
1915   .3122   .0262   .0074   .0351  -.0288   .0359  -.0660   .0935  -.1685  -.2022
1916   .3250   .0274   .0078   .0679  -.0295   .0366  -.0380   .0954  -.1735  -.2073
1917   .3372   .0286   .0081   .0878  -.0302   .0374  -.0280   .0974  -.1786  -.2124
1918   .3504   .0299   .0085   .0831  -.0310   .0380  -.0190   .0993  -.1836  -.2174
1919   .3593   .0311   .0089   .0480  -.0317   .0388  -.0210   .1013  -.1886  -.2225
1920   .3721   .0323   .0093   .0267  -.0324   .0395  -.1950   .1033  -.1937  -.2276
1921   .3825   .0336   .0097   .0164  -.0337   .0403  -.1530   .1052  -.1987  -.2327
1922   .3954   .0348   .0101   .0053  -.0348   .0410  -.0420   .1072  -.2038  -.2378
1923   .4081   .0360   .0104   .0162  -.0361   .0416  -.0020   .1092  -.2088  -.2428
1924   .4209   .0373   .0108   .0236  -.0374   .0424  -.0540   .1111  -.2138  -.2479
1925   .4335   .0385   .0112   .0552  -.0385   .0431  -.0420   .1131  -.2189  -.2530
1926   .4482   .0397   .0116   .0717  -.0398   .0434  -.0310   .1144  -.2243  -.2572
1927   .4612   .0410   .0120   .1018  -.0410   .0436  -.0090   .1158  -.2297  -.2614
1928   .4735   .0422   .0124   .0833  -.0423   .0439  -.0990   .1171  -.2351  -.2656
1929   .4880   .0434   .0128   .0794  -.0434   .0441  -.2070   .1185  -.2405  -.2698
1930   .5004   .0447   .0132   .0832  -.0447   .0443  -.1200   .1198  -.2459  -.2740
1931   .5144   .0464   .0136   .0722  -.0455   .0445  -.0850   .1211  -.2513  -.2782
1932   .5247   .0482   .0139   .0616  -.0464   .0447  -.1690   .1225  -.2568  -.2824
1933   .5411   .0500   .0143   .0464  -.0472   .0451  -.1290   .1238  -.2622  -.2866
1934   .5534   .0517   .0146   .0658  -.0480   .0453  -.0660   .1252  -.2676  -.2908
1935   .5651   .0535   .0149   .0975  -.0490   .0455  -.0730   .1265  -.2730  -.2950
1936   .5770   .0553   .0153   .1549  -.0498   .0457  -.0490   .1278  -.2784  -.2992
1937   .5912   .0571   .0156   .1414  -.0506   .0459  -.0400   .1292  -.2838  -.3034
1938   .6030   .0588   .0159   .1317  -.0515   .0462  -.0890   .1305  -.2892  -.3076
1939   .6130   .0606   .0163   .1317  -.0523   .0465  -.0710   .1319  -.2946  -.3118
1940   .6167   .0624   .0166   .1293  -.0532   .0467  -.0520   .1332  -.3001  -.3160
1941   .6163   .0641   .0170   .1279  -.0537   .0469  -.0210   .1345  -.3055  -.3202
1942   .6154   .0659   .0173   .1235  -.0543   .0472  -.0750   .1359  -.3109  -.3244
1943   .6161   .0677   .0177   .1089  -.0548   .0474  -.0780   .1372  -.3163  -.3286
1944   .6150   .0694   .0180   .1192  -.0555   .0476  -.0280   .1386  -.3217  -.3328
1945   .6210   .0712   .0184   .1602  -.0560   .0478  -.0260   .1399  -.3271  -.3370
1946   .6273   .0730   .0187   .1704  -.0565   .0481  -.0140   .1412  -.3325  -.3412
1947   .6359   .0748   .0192   .2039  -.0571   .0483  -.0280   .1426  -.3379  -.3454
1948   .6439   .0765   .0196   .2269  -.0577   .0486  -.0140   .1439  -.3434  -.3496
1949   .6584   .0783   .0200   .2126  -.0583   .0488  -.0490   .1453  -.3488  -.3538
1950   .6722   .0801   .0205   .1799  -.0588   .0490  -.0420   .1466  -.3542  -.3580
1951   .6890   .0848   .0210   .1451  -.0605   .0511  -.0190   .1522  -.3698  -.3682
1952   .7044   .0896   .0216   .1456  -.0621   .0533  -.0630   .1579  -.3854  -.3784
1953   .7206   .0943   .0222   .1234  -.0637   .0554  -.0520   .1635  -.4011  -.3886
1954   .7401   .0991   .0228   .1279  -.0654   .0576  -.0610   .1691  -.4167  -.3988
1955   .7590   .1038   .0235   .1448  -.0671   .0597  -.0160   .1748  -.4323  -.4090
1956   .7782   .1086   .0241   .2199  -.0687   .0618  -.0020   .1804  -.4480  -.4192
1957   .8000   .1133   .0249   .2723  -.0703   .0640   .0190   .1860  -.4636  -.4294
1958   .8194   .1181   .0256   .2682  -.0720   .0661   .0230   .1916  -.4792  -.4396
1959   .8473   .1229   .0263   .2324  -.0737   .0682   .0230   .1973  -.4949  -.4498
1960   .8759   .1276   .0271   .2201  -.0753   .0704  -.0800   .2029  -.5105  -.4600
1961   .8996   .1324   .0279   .1656  -.0759   .0730  -.2300   .2086  -.5256  -.4695
1962   .9261   .1371   .0288   .1347  -.0765   .0757  -.2840   .2143  -.5407  -.4790
1963   .9532   .1419   .0296   .1268  -.0771   .0784 -1.0500   .2201  -.5558  -.4885
1964   .9779   .1466   .0305   .1301  -.0776   .0812 -1.6610   .2258  -.5709  -.4980
1965  1.0062   .1514   .0314   .1393  -.0783   .0838  -.9870   .2315  -.5860  -.5075
1966  1.0508   .1561   .0323   .1717  -.0789   .0865  -.5220   .2372  -.6011  -.5170
1967  1.0832   .1609   .0333   .2032  -.0794   .0893  -.3170   .2429  -.6162  -.5265
1968  1.1169   .1656   .0342   .2142  -.0800   .0919  -.6180   .2487  -.6313  -.5360
1969  1.1616   .1704   .0352   .2292  -.0806   .0946  -.7830   .2544  -.6464  -.5455
1970  1.2089   .1751   .0363   .2273  -.0812   .0973  -.3640   .2601  -.6615  -.5550
1971  1.2499   .1799   .0373   .1804  -.0821   .0981  -.1270   .2636  -.6790  -.5638
1972  1.2970   .1846   .0383   .1858  -.0831   .0989  -.0660   .2672  -.6964  -.5726
1973  1.3604   .1894   .0394   .1435  -.0840   .0996  -.1570   .2707  -.7139  -.5814
1974  1.4036   .1942   .0405   .1316  -.0850   .1004  -.2730   .2742  -.7314  -.5902
1975  1.4521   .1989   .0415   .1057  -.0859   .1012  -.6820   .2777  -.7488  -.5990
1976  1.4882   .2036   .0426   .1270  -.0868   .1020  -.2910   .2813  -.7663  -.6078
1977  1.5496   .2084   .0436   .1584  -.0879   .1027  -.0940   .2848  -.7838  -.6166
1978  1.6053   .2132   .0448   .2232  -.0888   .1035  -.1500   .2883  -.8012  -.6254
1979  1.6632   .2179   .0458   .2752  -.0898   .1042  -.1930   .2919  -.8187  -.6342
1980  1.7213   .2178   .0469   .2773  -.0907   .1051  -.0850   .2954  -.8362  -.6430
1981  1.7780   .2177   .0482   .2826  -.0910   .1091  -.0890   .3090  -.8568  -.6521
1982  1.8299   .2176   .0495   .2185  -.0913   .1132 -1.2100   .3225  -.8773  -.6612
1983  1.8749   .2176   .0508   .2081  -.0917   .1173 -1.7440   .3361  -.8979  -.6703
1984  1.9330   .2175   .0521   .1504  -.0920   .1213  -.6820   .3496  -.9185  -.6794
1985  1.9848   .2174   .0529   .1280  -.0924   .1253  -.2700   .3632  -.9390  -.6885
1986  2.0421   .2173   .0538   .1277  -.0927   .1294  -.2940   .3768  -.9596  -.6976
1987  2.0982   .2172   .0546   .1502  -.0930   .1335  -.2160   .3903  -.9802  -.7067
1988  2.1722   .2171   .0552   .1907  -.0932   .1375  -.1530   .4039 -1.0008  -.7158
1989  2.2314   .2171   .0560   .2718  -.0929   .1416  -.1170   .4174 -1.0213  -.7249
1990  2.2757   .2170   .0566   .2590  -.0929   .1456  -.1170   .4310 -1.0419  -.7340
1991  2.3233   .2169   .0573   .2412  -.0916   .1490 -1.2410   .4411 -1.0662  -.7510
1992  2.3543   .2168   .0580   .2233  -.0926   .1521 -2.8220   .4502 -1.0883  -.7667
1993  2.3761   .2167   .0581   .1845  -.0926   .1552 -1.1230   .4595 -1.1108  -.7824
1994  2.4112   .2166   .0584   .1508  -.0926   .1582  -.4420   .4683 -1.1321  -.7975
1995  2.4575   .2165   .0589   .1368  -.0926   .1611  -.2040   .4768 -1.1525  -.8119
1996  2.4950   .2165   .0590   .1239  -.0926   .1643  -.1250   .4865 -1.1761  -.8285
1997  2.5161   .2164   .0592   .1427  -.0926   .1677  -.0960   .4965 -1.2002  -.8455
1998  2.5721   .2164   .0599   .1953  -.0926   .1708  -.0400   .5058 -1.2227  -.8613
1999  2.6148   .2164   .0604   .2363  -.0926   .1738   .0000   .5146 -1.2440  -.8763
2000  2.6399   .2164   .0605   .2767  -.0926   .1770   .0000   .5240 -1.2668  -.8924
2001  2.6672   .2164   .0604   .2590  -.0926   .1792   .0000   .5304 -1.2822  -.9032
2002  2.7032   .2164   .0605   .2412  -.0926   .1809  -.0282   .5357 -1.2949  -.9121
2003  2.7487   .2164   .0607   .2233  -.0926   .1828  -.1493   .5411 -1.3082  -.9215
2004  2.7597   .2164   .0607   .1858  -.0926   .1848  -.0535   .5471 -1.3226  -.9316
2005  2.7935   .2164   .0606   .1549  -.0926   .1868  -.1637   .5531 -1.3371  -.9419
2006  2.8326   .2164   .0606   .1423  -.0926   .1888  -.1022   .5590 -1.3512  -.9518
2007  2.8696   .2164   .0610   .1241  -.0926   .1910  -.0508   .5656 -1.3671  -.9630
2008  2.9109   .2164   .0614   .1171  -.0926   .1934  -.0291   .5725 -1.3840  -.9749
2009  2.9422   .2164   .0618   .1116  -.0926   .1957  -.0473   .5794 -1.4007  -.9867
2010  2.9857   .2164   .0621   .1323  -.0926   .1981  -.0090   .5866 -1.4180  -.9988
