Estimated radiative forcings from individual components: 
  2) volcanic aerosols (two reconstructions)

Values are nominally adjusted forcings (W/m2) at the TOA, but specific
calulations using GCMs may give somewhat different results. The
baseline for each calculations is noted below. 

Sources, and calculation methodology from Schmidt et al (2010)
"Climate forcing reconstructions for use in PMIP simulations of the
Last Millennium (version 1.0)".
GRA: based on Gao, Robock and Ammmann
CEA: Based on Crowley et al

    GRA             CEA
850 0              -0.129486	    
851 0		   -0.354583	    
852 0		   -0.0810833	    
853 0		   -0.0180694	    
854 0		   -1.49408	    
855 -1.74764	   -1.20437	    
856 -1.02901	   -0.443	    
857 -0.191975	   -0.162958	    
858 -0.0328954	   -0.213333	    
859 -0.00551787	   -0.046875	    
860 -0.000404227   -0.0104306	    
861 0		   -0.00138889	    
862 0		   0		    
863 0		   0		    
864 0		   0		    
865 0		   0		    
866 0		   0		    
867 0		   0		    
868 0		   0		    
869 0		   0		    
870 0		   0		    
871 -1.71624	   0		    
872 -1.0397	   0		    
873 -0.195253	   0		    
874 -0.0335073	   -0.392528	    
875 -0.00562259	   -0.128208	    
876 -0.000405819   -0.09525	    
877 0		   -0.0215	    
878 -0.273786	   -0.003875	    
879 -0.182114	   -0.000430556    
880 -0.0348947	   0		    
881 -0.0060152	   -0.161667	    
882 -0.0010105	   -0.0483611	    
883 -6.97058e-05   -0.0107917	    
884 0		   -0.00144444	    
885 0		   0		    
886 0		   0		    
887 0		   0		    
888 0		   0		    
889 0		   0		    
890 0		   0		    
891 0		   0		    
892 0		   0		    
893 0		   0		    
894 -0.181671	   0		    
895 -0.120842	   0		    
896 -0.0231545	   -0.538333	    
897 -0.00399138	   -2.15044	    
898 -0.000670363   -0.888139	    
899 -0.303897	   -0.326764	    
900 -0.202112	   -0.120208	    
901 -0.0387266	   -0.157125	    
902 -1.58073	   -0.0393056	    
903 -0.973245	   -0.156389	    
904 -0.183511	   -0.0450556	    
905 -0.0315209	   -0.00979167	    
906 -0.00529054	   -0.00130556	    
907 -0.000378443   -0.08225	    
908 0		   -0.0222083	    
909 0		   -0.00497222	    
910 0		   -0.000611111    
911 0		   -0.629556	    
912 0		   -0.208694	    
913 0		   -0.0465417	    
914 0		   -0.00679167	    
915 0		   0		    
916 0		   0		    
917 0		   0		    
918 0		   -0.227278	    
919 0		   -0.0709722	    
920 0		   -0.0158194	    
921 0		   -0.00219444	    
922 0		   0		    
923 0		   0		    
924 0		   -0.341139	    
925 0		   -0.108722	    
926 0		   -0.02425	    
927 0		   -0.00338889	    
928 0		   0		    
929 0		   0		    
930 -0.847234	   0		    
931 -0.453212	   0		    
932 -0.0825463	   0		    
933 -0.014066	   0		    
934 -2.0353	   0		    
935 -1.35309	   0		    
936 -0.259265	   0		    
937 -0.0446928	   0		    
938 -0.00750825	   0		    
939 -0.000517531   -0.121306	    
940 -0.131905	   -0.450458	    
941 -0.0705601	   -0.296208	    
942 -0.0128515	   -0.0653611	    
943 -0.00218995	   -0.01275	    
944 -0.000366789   0		    
945 -2.83144e-05   0		    
946 -0.296237	   0		    
947 -0.162816	   -0.25975	    
948 -0.0293847	   -0.171944	    
949 -0.00499492	   -0.0383889	    
950 -0.000836063   -0.00741667	    
951 -5.88238e-05   0		    
952 0		   0		    
953 0		   0		    
954 0		   0		    
955 0		   0		    
956 0		   0		    
957 0		   -0.123639	    
958 0		   -0.0510278	    
959 0		   -0.0113611	    
960 0		   -0.00186111	    
961 0		   -0.269917	    
962 -1.33652	   -0.0850833	    
963 -0.748939	   -0.0189583	    
964 -0.138053	   -0.00265278	    
965 -0.0235902	   0		    
966 -0.00395411	   -0.189583	    
967 -0.000297705   -0.0574444	    
968 0		   -0.335056	    
969 0		   -0.104153	    
970 0		   -0.0228611	    
971 0		   -2.3255	    
972 0		   -1.89469	    
973 0		   -0.696986	    
974 0		   -0.390097	    
975 0		   -0.128389	    
976 0		   -0.00879167	    
977 0		   -0.00116667	    
978 0		   0		    
979 0		   0		    
980 0		   0		    
981 0		   0		    
982 0		   0		    
983 0		   0		    
984 0		   0		    
985 0		   -0.284167	    
986 0		   -0.0898611	    
987 0		   -0.0200833	    
988 -0.540251	   -0.0840833	    
989 -0.340874	   -0.246042	    
990 -0.065847	   -0.0971667	    
991 -0.0113743	   -1.14281	    
992 -0.00191171	   -0.755528	    
993 -0.000139528   -0.248403	    
